ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
1,0.000,0.000,0.000,0.000,learnWeights.py:23(<listcomp>)
1,0.000,0.000,0.000,0.000,learnWeights.py:34(<listcomp>)
1,0.000,0.000,0.942,0.942,learnWeights.py:18(learn)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
1872,0.008,0.000,0.008,0.000,location.py:17(gComponent)
2,0.001,0.000,0.010,0.005,location.py:23(__init__)
3000,0.020,0.000,0.057,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.002,0.000,0.008,0.000,location.py:36(getGrids)
3028,0.001,0.000,0.001,0.000,location.py:53(__init__)
3028,0.003,0.000,0.003,0.000,location.py:61(setXY)
3000,0.004,0.000,0.064,0.000,location.py:75(setGrids)
28,0.000,0.000,0.000,0.000,location.py:83(getXY)
28,0.000,0.000,0.003,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.005,0.005,location.py:14(<module>)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:17(__init__)
840,0.009,0.000,0.012,0.000,DGStateAlan.py:45(getOriginalValues)
3360,0.023,0.000,0.028,0.000,DGStateAlan.py:54(getSemanticValues)
1,0.000,0.000,0.002,0.002,DGStateAlan.py:58(generateSemantics)
1680,0.217,0.000,0.546,0.000,DGStateAlan.py:65(encode)
1680,0.006,0.000,0.937,0.001,DGStateAlan.py:119(learn)
840,0.028,0.000,0.066,0.000,DGStateAlan.py:132(learnECDGweights)
840,0.141,0.000,0.305,0.000,DGStateAlan.py:159(learnCA3CA1weights)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
3000,0.038,0.000,0.129,0.000,DGStateAlan.py:223(__init__)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:222(DGState)
1680,0.039,0.000,0.055,0.000,DGStateAlan.py:313(smartCollapseMatrix)
840,0.012,0.000,0.038,0.000,DGStateAlan.py:342(normalise)
1,0.002,0.002,0.942,0.942,DGStateAlan.py:360(train_weights)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:5(<module>)
28,0.000,0.000,0.003,0.000,makeMaze.py:8(__init__)
1,0.000,0.000,0.000,0.000,makeMaze.py:7(Senses)
28,0.000,0.000,0.000,0.000,makeMaze.py:45(findSurfs)
1,0.000,0.000,38.094,38.094,makeMaze.py:74(makeMaze)
1,0.000,0.000,0.125,0.125,makeMaze.py:1(<module>)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:24(__init__)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:32(extractFilesByPrefix)
2,0.070,0.035,37.854,18.927,SURFExtractor.py:81(extractDescriptors)
1,0.000,0.000,0.189,0.189,SURFExtractor.py:92(mergeFeatures)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:108(getFirstDescs)
1,0.000,0.000,0.046,0.046,SURFExtractor.py:127(generateFeatureVectors)
1,0.000,0.000,38.091,38.091,SURFExtractor.py:140(generateFeatureRepresentations)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:17(SURFExtractor)
1,0.000,0.000,38.091,38.091,SURFExtractor.py:170(makeSURFRepresentation)
112,0.045,0.000,0.045,0.000,SURFExtractor.py:202(<listcomp>)
373816,0.061,0.000,0.061,0.000,SURFExtractor.py:202(<lambda>)
112,0.003,0.000,36.607,0.327,SURFExtractor.py:188(extractSURFFeatures)
6,0.000,0.000,0.173,0.029,SURFExtractor.py:241(findClosestMatchingFeaturesPairs)
7,0.000,0.000,0.152,0.022,SURFExtractor.py:262(trainFLANN)
56,0.000,0.000,0.016,0.000,SURFExtractor.py:269(findNearestFeatures)
56,0.000,0.000,0.026,0.000,SURFExtractor.py:273(calculateFeatureVector)
62,0.016,0.000,0.018,0.000,SURFExtractor.py:285(<listcomp>)
1288,0.000,0.000,0.000,0.000,SURFExtractor.py:286(<lambda>)
62,0.000,0.000,0.020,0.000,SURFExtractor.py:281(findMatchingFeatures)
6,0.000,0.000,0.000,0.000,SURFExtractor.py:300(<listcomp>)
1,0.002,0.002,0.189,0.189,SURFExtractor.py:290(mergeFeatures)
84,0.001,0.000,0.001,0.000,SURFExtractor.py:343(mergeFeaturePair)
56,0.000,0.000,0.000,0.000,SURFExtractor.py:353(<listcomp>)
56,0.001,0.000,0.001,0.000,SURFExtractor.py:348(findBooleanFeatureVector)
1,0.000,0.000,0.119,0.119,SURFExtractor.py:2(<module>)
1,0.000,0.000,0.000,0.000,hcq.py:9(History)
1,0.000,0.000,0.132,0.132,hcq.py:1(<module>)
1,0.000,0.000,0.132,0.132,rbm.py:1(<module>)
1,0.015,0.015,0.024,0.024,paths.py:19(__init__)
3000,0.045,0.000,0.451,0.000,paths.py:56(getGroundTruthFiring)
1,0.007,0.007,0.460,0.460,paths.py:76(getGroundTruthFirings)
1,0.000,0.000,0.000,0.000,paths.py:17(Paths)
3000,0.217,0.000,0.240,0.000,paths.py:116(CA3StateFromInputs)
1,0.000,0.000,0.132,0.132,paths.py:2(<module>)
1,0.000,0.000,0.004,0.004,cffun.py:1(<module>)
1,0.000,0.000,40.263,40.263,go.py:1(<module>)



