ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,gui.py:1(<module>)
1,0.000,0.000,0.000,0.000,plotPlaceCells.py:1(<module>)
1,0.001,0.001,18.893,18.893,learnWeights.py:18(learn)
1,0.000,0.000,0.000,0.000,learnWeights.py:1(<module>)
9384,0.049,0.000,0.049,0.000,location.py:17(gComponent)
2,0.001,0.000,0.010,0.005,location.py:23(__init__)
15002,0.098,0.000,0.282,0.000,location.py:31(lookup)
1,0.000,0.000,0.000,0.000,location.py:22(DictGrids)
128,0.002,0.000,0.008,0.000,location.py:36(getGrids)
15656,0.003,0.000,0.003,0.000,location.py:53(__init__)
626,0.000,0.000,0.000,0.000,location.py:56(setPlaceId)
15030,0.013,0.000,0.013,0.000,location.py:61(setXY)
15002,0.021,0.000,0.316,0.000,location.py:75(setGrids)
654,0.004,0.000,0.009,0.000,location.py:83(getXY)
654,0.012,0.000,0.065,0.000,location.py:97(getGrids)
1,0.000,0.000,0.000,0.000,location.py:52(Location)
1,0.000,0.000,0.005,0.005,location.py:14(<module>)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:16(DGHelper)
15002,0.178,0.000,0.616,0.000,DGStateAlan.py:223(__init__)
3001,0.002,0.000,0.002,0.000,DGStateAlan.py:286(toVectorSurfOnly)
3001,0.005,0.000,0.057,0.000,DGStateAlan.py:295(toVectorSensesOnly)
3001,0.006,0.000,0.061,0.000,DGStateAlan.py:299(toVectorOdomOnly)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:222(DGState)
1,0.000,0.000,0.000,0.000,DGStateAlan.py:5(<module>)
28,0.000,0.000,0.004,0.000,makeMaze.py:8(__init__)
1,0.000,0.000,0.000,0.000,makeMaze.py:7(Senses)
28,0.000,0.000,0.000,0.000,makeMaze.py:45(findSurfs)
1,0.000,0.000,38.128,38.128,makeMaze.py:74(makeMaze)
1,0.000,0.000,0.122,0.122,makeMaze.py:1(<module>)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:24(__init__)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:32(extractFilesByPrefix)
2,0.069,0.034,37.887,18.944,SURFExtractor.py:81(extractDescriptors)
1,0.000,0.000,0.188,0.188,SURFExtractor.py:92(mergeFeatures)
1,0.000,0.000,0.001,0.001,SURFExtractor.py:108(getFirstDescs)
1,0.000,0.000,0.047,0.047,SURFExtractor.py:127(generateFeatureVectors)
1,0.000,0.000,38.124,38.124,SURFExtractor.py:140(generateFeatureRepresentations)
1,0.000,0.000,0.000,0.000,SURFExtractor.py:17(SURFExtractor)
1,0.000,0.000,38.124,38.124,SURFExtractor.py:170(makeSURFRepresentation)
112,0.043,0.000,0.043,0.000,SURFExtractor.py:202(<listcomp>)
373816,0.059,0.000,0.059,0.000,SURFExtractor.py:202(<lambda>)
112,0.003,0.000,36.624,0.327,SURFExtractor.py:188(extractSURFFeatures)
6,0.000,0.000,0.171,0.028,SURFExtractor.py:241(findClosestMatchingFeaturesPairs)
7,0.000,0.000,0.156,0.022,SURFExtractor.py:262(trainFLANN)
56,0.000,0.000,0.016,0.000,SURFExtractor.py:269(findNearestFeatures)
56,0.000,0.000,0.026,0.000,SURFExtractor.py:273(calculateFeatureVector)
62,0.016,0.000,0.019,0.000,SURFExtractor.py:285(<listcomp>)
1290,0.000,0.000,0.000,0.000,SURFExtractor.py:286(<lambda>)
62,0.000,0.000,0.020,0.000,SURFExtractor.py:281(findMatchingFeatures)
6,0.000,0.000,0.000,0.000,SURFExtractor.py:300(<listcomp>)
1,0.002,0.002,0.187,0.187,SURFExtractor.py:290(mergeFeatures)
84,0.001,0.000,0.001,0.000,SURFExtractor.py:343(mergeFeaturePair)
56,0.000,0.000,0.000,0.000,SURFExtractor.py:353(<listcomp>)
56,0.001,0.000,0.001,0.000,SURFExtractor.py:348(findBooleanFeatureVector)
1,0.000,0.000,0.116,0.116,SURFExtractor.py:2(<module>)
1,0.000,0.000,0.000,0.000,hcq.py:9(History)
1,0.000,0.000,0.129,0.129,hcq.py:1(<module>)
27090,4.837,0.000,11.954,0.000,rbm.py:9(boltzmannProbs)
1,0.000,0.000,0.001,0.001,rbm.py:20(trainPriorBias)
3,0.802,0.267,15.568,5.189,rbm.py:29(trainW)
90,1.571,0.017,1.636,0.018,rbm.py:83(hardThreshold)
1,0.000,0.000,0.001,0.001,rbm.py:92(addBias)
1,0.000,0.000,0.129,0.129,rbm.py:1(<module>)
1,0.018,0.018,0.028,0.028,paths.py:19(__init__)
6000,0.086,0.000,0.879,0.000,paths.py:56(getGroundTruthFiring)
1,0.007,0.007,0.448,0.448,paths.py:76(getGroundTruthFirings)
1,0.028,0.028,2.517,2.517,paths.py:93(getNoiseyGPSFirings)
1,0.000,0.000,0.000,0.000,paths.py:17(Paths)
9000,0.627,0.000,0.690,0.000,paths.py:116(CA3StateFromInputs)
1,0.009,0.009,0.095,0.095,paths.py:234(ca3s2v)
1,0.016,0.016,0.345,0.345,paths.py:257(ecs2vd_so)
1,0.009,0.009,0.311,0.311,paths.py:266(ecs2vd_oo)
1,0.000,0.000,0.129,0.129,paths.py:2(<module>)
9000,0.126,0.000,0.126,0.000,cffun.py:12(fuse)
1,0.000,0.000,0.001,0.001,cffun.py:30(lag)
1,0.000,0.000,0.000,0.000,cffun.py:42(invsig)
1,0.000,0.000,0.004,0.004,cffun.py:1(<module>)
1,0.018,0.018,58.236,58.236,go.py:1(<module>)



